,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
530,May Contain Traces of Magic,Tom Holt,http://ecx.images-amazon.com/images/I/51kYm0qGQoL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
531,Nothing But Blue Skies,Tom Holt,http://ecx.images-amazon.com/images/I/51bOhMljgtL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
532,Valhalla,Tom Holt,http://ecx.images-amazon.com/images/I/51XnjSuEtBL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
533,Wish You Were Here,Tom Holt,http://ecx.images-amazon.com/images/I/51X-j50niFL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
534,Who's Afraid of Beowulf?,Tom Holt,http://ecx.images-amazon.com/images/I/51gJd4c4AiL.jpg,Orbit (US),$5.99,,NOVEL,ebook,2012-09-04
535,The Blinding Knife,Brent Weeks,http://ecx.images-amazon.com/images/I/51YT3%2BaZOIL.jpg,Orbit (US),$25.99,671,NOVEL,hc,2012-09-11
536,The Blinding Knife,Brent Weeks,http://ecx.images-amazon.com/images/I/51r5c9gyd8L.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-09-11
537,Full Blooded,Amanda Carlson,http://ecx.images-amazon.com/images/I/511aCnf3mxL.jpg,Orbit (US),$8.99,,NOVEL,ebook,2012-09-11
538,Gods of Risk,James S. A. Corey,http://ecx.images-amazon.com/images/I/51vUBf%2BckWL.jpg,Orbit (US),$2.99,,CHAPBOOK,ebook,2012-09-15
539,"The Soddit, or, Let's Cash in Again",A. R. R. R. Roberts,http://ecx.images-amazon.com/images/I/51Lb6-Qhv7L.jpg,Orbit (US),$12.99,353,NOVEL,hc,2012-09-18
540,"The Soddit: Or, Let's Cash in Again",A. R. R. R. Roberts,http://ecx.images-amazon.com/images/I/51cKwjcuXOL.jpg,Orbit (US),$7.99,,NOVEL,ebook,2012-09-18
541,Red Country,Joe Abercrombie,http://www.isfdb.org/wiki/images/2/26/RDCNTRWTHB2012.jpg,Orbit (US),$25.99,453,NOVEL,hc,2012-10-00
542,The Orphaned Worlds,Michael Cobley,http://www.isfdb.org/wiki/images/5/5b/THRPHNDWRL2012.jpg,Orbit (US),$7.99,xvi+636,NOVEL,pb,2012-10-00
543,The Hydrogen Sonata,Iain M. Banks,http://ecx.images-amazon.com/images/I/51x1F4ZvdyL.jpg,Orbit (US),$25.99,517,NOVEL,hc,2012-10-00
544,The Hydrogen Sonata,Iain M. Banks,http://ecx.images-amazon.com/images/I/51yzJzSbyrL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-10-00
545,The Orphaned Worlds,Michael Cobley,http://ecx.images-amazon.com/images/I/51CL2ua7uJL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-10-00
546,The Perimeter,Will McIntosh,http://ecx.images-amazon.com/images/I/51-Si9RbQYL.jpg,Orbit (US),£1.49,,CHAPBOOK,ebook,2012-10-15
547,The Perimeter,Will McIntosh,http://ecx.images-amazon.com/images/I/51YPe4teWYL.jpg,Orbit (US),$1.99,,CHAPBOOK,ebook,2012-10-16
