,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image
865,Reign of Iron,Angus Watson,9780316399814,$15.99,512,NOVEL,tp,2015-09-29,Orbit (US),http://ecx.images-amazon.com/images/I/51R-o1ot35L.jpg
866,Reign of Iron,Angus Watson,9780316399821,$9.99,,NOVEL,ebook,2015-09-29,Orbit (US),http://ecx.images-amazon.com/images/I/510R8qFtKlL.jpg
867,Killing Titan,Greg Bear,9780316224000,$26.00,326,NOVEL,hc,2015-10-00,Orbit (US),http://www.isfdb.org/wiki/images/1/14/KLLNGTTNWB2015.jpg
868,Killing Titan,Greg Bear,9780316223997,$12.99,,NOVEL,ebook,2015-10-00,Orbit (US),http://ecx.images-amazon.com/images/I/51gxhwOcQmL.jpg
869,Ancillary Mercy,Ann Leckie,9780316246682,$15.99,328,NOVEL,tp,2015-10-06,Orbit (US),http://ecx.images-amazon.com/images/I/517FZqyUbGL.jpg
870,Swords and Scoundrels,Julia Knight,9780316374965,$14.99,355,NOVEL,tp,2015-10-06,Orbit (US),http://ecx.images-amazon.com/images/I/51xZT2m-sdL.jpg
871,Swords and Scoundrels,Julia Knight,9780316374972,$9.99,,NOVEL,ebook,2015-10-06,Orbit (US),http://ecx.images-amazon.com/images/I/51EIi5KAdLL.jpg
872,Ancillary Mercy,Ann Leckie,9780316246675,$9.99,,NOVEL,ebook,2015-10-06,Orbit (US),http://ecx.images-amazon.com/images/I/51ab7Ru0zKL.jpg
873,Ruin,John Gwynne,9780316386302,$9.99,,NOVEL,ebook,2015-10-13,Orbit (US),http://ecx.images-amazon.com/images/I/51m0ghI2YIL.jpg
874,Ruin,John Gwynne,9780316386326,$16.99,746,NOVEL,tp,2015-10-13,Orbit (US),http://ecx.images-amazon.com/images/I/51uSblZtpSL.jpg
875,Symbiont,Mira Grant,9780316219013,$15.99,516,NOVEL,tp,2015-10-13,Orbit (US),http://ecx.images-amazon.com/images/I/516oHY%2BwBsL.jpg
876,The Two of Swords: Part Nine,K. J. Parker,9780316351522,$0.99,,CHAPBOOK,ebook,2015-10-13,Orbit (US),http://ecx.images-amazon.com/images/I/61gEoa8D-CL.jpg
