,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
1220,Magefall,Stephen Aryan,9780316554817,16.99,438,NOVEL,tp,2018-09-04,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51TMAK2b73L.jpg,153300.0,2018
1221,Magefall,Stephen Aryan,9780356508481,6.99,,NOVEL,ebook,2018-09-04,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51eoiBNmGSL.jpg,153300.0,2018
1222,The Land You Never Leave,Angus Watson,9780316317399,16.99,476,NOVEL,tp,2018-09-11,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51w52vOWxXL.jpg,166600.0,2018
1223,The Land You Never Leave,Angus Watson,9780316317405,11.99,,NOVEL,ebook,2018-09-11,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51Szf1-qKzL.jpg,166600.0,2018
1224,Charmcaster,Sebastien de Castell,9780316525848,15.99,369,NOVEL,tp,2018-09-18,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61zXPd1H1uL.jpg,129150.0,2018
1225,Charmcaster,Sebastien de Castell,9780316525824,9.99,,NOVEL,ebook,2018-09-18,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51%2BlNqES2DL.jpg,129150.0,2018
1226,Children of Time,Adrian Tchaikovsky,9780316452496,9.99,,NOVEL,ebook,2018-09-18,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51sR5hLQZIL.jpg,224000.0,2018
1227,Children of Time,Adrian Tchaikovsky,9780316452502,15.99,640,NOVEL,tp,2018-12-11,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51glJgVC1IL.jpg,224000.0,2018
1228,The Game of Luck,Catherine Cerveny,9780316441667,15.99,430,NOVEL,tp,2018-09-25,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51BVd5INfdL.jpg,150500.0,2018
1229,The Broken Earth Trilogy,N. K. Jemisin,9780316527194,39.99,1424,OMNIBUS,tp,2018-10-02,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61Z2Ki-oQtL.jpg,498400.0,2018
1230,There Before the Chaos,K. B. Wagers,9780316411219,15.99,480,NOVEL,tp,2018-10-09,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61i1ZeWuHfL.jpg,168000.0,2018
1231,There Before the Chaos,K. B. Wagers,9780316411202,9.99,,NOVEL,ebook,2018-10-09,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51NBX0aP5NL.jpg,168000.0,2018
1232,Treason of Hawks,Lila Bowen,9780316502375,26.0,384,NOVEL,hc,2018-10-16,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51fW1xqfKVL.jpg,134400.0,2018
1233,Treason of Hawks,Lila Bowen,9780316502382,13.99,,NOVEL,ebook,2018-10-16,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51Syrf77ksL.jpg,134400.0,2018
1234,The Wastelanders,K. S. Merbeth,9780316527071,16.99,608,OMNIBUS,tp,2018-10-16,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51ph14-8AWL.jpg,212800.0,2018
1235,The Wastelanders,K. S. Merbeth,9780316527033,9.99,,OMNIBUS,ebook,2018-10-16,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51Cr2Vo930L.jpg,212800.0,2018
1236,Cold Iron,Miles Cameron,9780316399319,16.99,445,NOVEL,tp,2018-10-23,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51rJdl23FBL.jpg,155750.0,2018
